Names
"Kelly, Mr. James"
"Wilkes, Mrs. James (Ellen Needs)"
"Myles, Mr. Thomas Francis"
"Wirz, Mr. Albert"
"Hirvonen, Mrs. Alexander (Helga E Lindqvist)"
"Svensson, Mr. Johan Cervin"
"Connolly, Miss. Kate"
"Caldwell, Mr. Albert Francis"
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)"
"Davies, Mr. John Samuel"
"Ilieff, Mr. Ylio"
"Jones, Mr. Charles Cresson"
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)"
"Howard, Mr. Benjamin"
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)"
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)"
"Keane, Mr. Daniel"
"Assaf, Mr. Gerios"
"Ilmakangas, Miss. Ida Livija"
"Assaf Khalil, Mrs. Mariana (Miriam"")"""
"Rothschild, Mr. Martin"
"Olsen, Master. Artur Karl"
"Flegenheim, Mrs. Alfred (Antoinette)"
"Williams, Mr. Richard Norris II"
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)"
"Robins, Mr. Alexander A"
"Ostby, Miss. Helene Ragnhild"
"Daher, Mr. Shedid"
"Brady, Mr. John Bertram"
"Samaan, Mr. Elias"
"Louch, Mr. Charles Alexander"
"Jefferys, Mr. Clifford Thomas"
"Dean, Mrs. Bertram (Eva Georgetta Light)"
"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)"""
"Mock, Mr. Philipp Edmund"
"Katavelas, Mr. Vassilios (Catavelas Vassilios"")"""
"Roth, Miss. Sarah A"
"Cacic, Miss. Manda"
"Sap, Mr. Julius"
"Hee, Mr. Ling"
"Karun, Mr. Franz"
"Franklin, Mr. Thomas Parham"
"Goldsmith, Mr. Nathan"
"Corbett, Mrs. Walter H (Irene Colvin)"
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)"
"Peltomaki, Mr. Nikolai Johannes"
"Chevre, Mr. Paul Romaine"
"Shaughnessy, Mr. Patrick"
"Bucknell, Mrs. William Robert (Emma Eliza Ward)"
"Coutts, Mrs. William (Winnie Minnie"" Treanor)"""
"Smith, Mr. Lucien Philip"
"Pulbaum, Mr. Franz"
"Hocking, Miss. Ellen Nellie"""""
"Fortune, Miss. Ethel Flora"
"Mangiavacchi, Mr. Serafino Emilio"
"Rice, Master. Albert"
"Cor, Mr. Bartol"
"Abelseth, Mr. Olaus Jorgensen"
"Davison, Mr. Thomas Henry"
"Chaudanson, Miss. Victorine"
"Dika, Mr. Mirko"
"McCrae, Mr. Arthur Gordon"
"Bjorklund, Mr. Ernst Herbert"
"Bradley, Miss. Bridget Delia"
"Ryerson, Master. John Borie"
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)"
"Burns, Miss. Mary Delia"
"Moore, Mr. Clarence Bloomfield"
"Tucker, Mr. Gilbert Milligan Jr"
"Fortune, Mrs. Mark (Mary McDougald)"
"Mulvihill, Miss. Bertha E"
"Minkoff, Mr. Lazar"
"Nieminen, Miss. Manta Josefina"
"Ovies y Rodriguez, Mr. Servando"
"Geiger, Miss. Amalie"
"Keeping, Mr. Edwin"
"Miles, Mr. Frank"
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)"
"Aldworth, Mr. Charles Augustus"
"Doyle, Miss. Elizabeth"
"Boulos, Master. Akar"
"Straus, Mr. Isidor"
