Names
0,"Kelly, Mr. James"
1,"Wilkes, Mrs. James (Ellen Needs)"
2,"Myles, Mr. Thomas Francis"
3,"Wirz, Mr. Albert"
4,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)"
5,"Svensson, Mr. Johan Cervin"
6,"Connolly, Miss. Kate"
7,"Caldwell, Mr. Albert Francis"
8,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)"
9,"Davies, Mr. John Samuel"
10,"Ilieff, Mr. Ylio"
11,"Jones, Mr. Charles Cresson"
12,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)"
13,"Howard, Mr. Benjamin"
14,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)"
15,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)"
16,"Keane, Mr. Daniel"
17,"Assaf, Mr. Gerios"
18,"Ilmakangas, Miss. Ida Livija"
19,"Assaf Khalil, Mrs. Mariana (Miriam"")"""
20,"Rothschild, Mr. Martin"
21,"Olsen, Master. Artur Karl"
22,"Flegenheim, Mrs. Alfred (Antoinette)"
23,"Williams, Mr. Richard Norris II"
24,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)"
25,"Robins, Mr. Alexander A"
26,"Ostby, Miss. Helene Ragnhild"
27,"Daher, Mr. Shedid"
28,"Brady, Mr. John Bertram"
29,"Samaan, Mr. Elias"
30,"Louch, Mr. Charles Alexander"
31,"Jefferys, Mr. Clifford Thomas"
32,"Dean, Mrs. Bertram (Eva Georgetta Light)"
33,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)"""
34,"Mock, Mr. Philipp Edmund"
35,"Katavelas, Mr. Vassilios (Catavelas Vassilios"")"""
36,"Roth, Miss. Sarah A"
37,"Cacic, Miss. Manda"
38,"Sap, Mr. Julius"
39,"Hee, Mr. Ling"
40,"Karun, Mr. Franz"
41,"Franklin, Mr. Thomas Parham"
42,"Goldsmith, Mr. Nathan"
43,"Corbett, Mrs. Walter H (Irene Colvin)"
44,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)"
45,"Peltomaki, Mr. Nikolai Johannes"
46,"Chevre, Mr. Paul Romaine"
47,"Shaughnessy, Mr. Patrick"
48,"Bucknell, Mrs. William Robert (Emma Eliza Ward)"
49,"Coutts, Mrs. William (Winnie Minnie"" Treanor)"""
50,"Smith, Mr. Lucien Philip"
51,"Pulbaum, Mr. Franz"
52,"Hocking, Miss. Ellen Nellie"""""
53,"Fortune, Miss. Ethel Flora"
54,"Mangiavacchi, Mr. Serafino Emilio"
55,"Rice, Master. Albert"
56,"Cor, Mr. Bartol"
57,"Abelseth, Mr. Olaus Jorgensen"
58,"Davison, Mr. Thomas Henry"
59,"Chaudanson, Miss. Victorine"
60,"Dika, Mr. Mirko"
61,"McCrae, Mr. Arthur Gordon"
62,"Bjorklund, Mr. Ernst Herbert"
63,"Bradley, Miss. Bridget Delia"
64,"Ryerson, Master. John Borie"
65,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)"
66,"Burns, Miss. Mary Delia"
67,"Moore, Mr. Clarence Bloomfield"
68,"Tucker, Mr. Gilbert Milligan Jr"
